task,variant,source,trial,comparison_status,counts_for_score,reward,exception_type,valid_verifier_result,timeout_upload_result,result_path,wall_duration_sec,environment_setup_sec,agent_setup_sec,agent_execution_sec,verifier_sec,input_tokens,cache_tokens,output_tokens,token_usage_available,token_usage_source,total_input_output_tokens,uncached_input_tokens,uncached_input_output_tokens,cost_usd,kimi_session_id,kimi_wire_path,kimi_usage_turns,kimi_input_other_tokens,kimi_input_cache_read_tokens,kimi_input_cache_creation_tokens,kimi_llm_first_token_latency_ms_mean,kimi_llm_first_token_latency_ms_median,kimi_llm_stream_duration_ms_mean,kimi_llm_stream_duration_ms_median,kimi_llm_stream_duration_ms_sum,prompt_chars,previous_failure_chars,env_snapshot_chars,injected_context_chars,kimi_stdout_bytes,kimi_stream_events,kimi_tool_call_events,claude_log_bytes,claude_trajectory_steps
adaptive-rejection-sampler,without Meta-Harness,claude-code+kimi-k2.6,adaptive-rejection-sampler__7AAg4Pi,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-adaptive-rejection-sampler-claude-code-k6/adaptive-rejection-sampler__7AAg4Pi/result.json,916.35,0.798,1.518,900.002,3.798,254194,254154,30990,True,harbor_agent_result,285184,40,31030,,,,,,,,,,,,,,,,,,,,120054,11
adaptive-rejection-sampler,with Meta-Harness,kimi-code+kimi-for-coding,adaptive-rejection-sampler__Q4oCfYc,invalid_or_missing,False,,AgentTimeoutError,False,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-adaptive-rejection-sampler-kimicode-with-metaharness-20260611T012505/adaptive-rejection-sampler__Q4oCfYc/result.json,900.634,0.27,0.001,899.978,0.08,750496,702464,24234,True,kimi_session_wire,774730,48032,72266,,session_fbb34f56-b6a6-46fd-9d5a-cea18a02458d,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_fbb34f56-b6a6-46fd-9d5a-cea18a02458d/agents/main/wire.jsonl,19,48032,702464,0,1931.842,1670.0,33987.105,3419.0,645755,10129,4468,987,5455,,,,,
bn-fit-modify,without Meta-Harness,claude-code+kimi-k2.6,bn-fit-modify__sCNsbRM,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-bn-fit-modify-claude-code-k6/bn-fit-modify__sCNsbRM/result.json,620.68,156.509,1.486,293.67,158.584,498144,498040,17688,True,harbor_agent_result,515832,104,17792,,,,,,,,,,,,,,,,,,,,65589,27
break-filter-js-from-html,without Meta-Harness,claude-code+kimi-k2.6,break-filter-js-from-html__jJqdVr7,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-break-filter-js-from-html-claude-code-k6/break-filter-js-from-html__jJqdVr7/result.json,541.032,377.444,1.413,31.0,120.829,19686,19674,1180,True,harbor_agent_result,20866,12,1192,,,,,,,,,,,,,,,,,,,,9957,4
break-filter-js-from-html,with Meta-Harness,kimi-code+kimi-for-coding,break-filter-js-from-html__8tP5yyX,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-breakfilter-kimicode-with-metaharness-20260610T205109/break-filter-js-from-html__8tP5yyX/result.json,953.215,3.171,0.001,900.392,38.913,547005,484352,27855,True,kimi_session_wire,574860,62653,90508,,session_4a2d2426-bce9-47d9-95f9-6e7325873fb5,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_4a2d2426-bce9-47d9-95f9-6e7325873fb5/agents/main/wire.jsonl,13,62653,484352,0,2666.538,2259.0,64000.308,46232.0,832004,6038,2235,1046,3281,,,,,
build-cython-ext,without Meta-Harness,claude-code+kimi-k2.6,build-cython-ext__FvYDwi7,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-build-cython-ext-claude-code-k6/build-cython-ext__FvYDwi7/result.json,809.95,237.269,1.754,548.475,12.206,3675338,3674962,11312,True,harbor_agent_result,3686650,376,11688,,,,,,,,,,,,,,,,,,,,713205,95
build-pmars,without Meta-Harness,claude-code+kimi-k2.6,build-pmars__aLhKzNX,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-build-pmars-claude-code-k6/build-pmars__aLhKzNX/result.json,379.003,89.052,1.566,225.761,52.38,1168195,1167983,8676,True,harbor_agent_result,1176871,212,8888,,,,,,,,,,,,,,,,,,,,160023,54
build-pov-ray,without Meta-Harness,claude-code+kimi-k2.6,build-pov-ray__ehChcRX,invalid_or_missing,False,,EnvironmentStartTimeoutError,False,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-build-pov-ray-claude-code-k6/build-pov-ray__ehChcRX/result.json,1201.115,1201.009,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,
caffe-cifar-10,without Meta-Harness,claude-code+kimi-k2.6,caffe-cifar-10__FY65VhG,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-caffe-cifar-10-claude-code-k6/caffe-cifar-10__FY65VhG/result.json,4200.268,558.864,1.507,3600.003,29.659,710330,710166,5796,True,harbor_agent_result,716126,164,5960,,,,,,,,,,,,,,,,,,,,305527,42
cancel-async-tasks,without Meta-Harness,claude-code+kimi-k2.6,cancel-async-tasks__pdHm6Ub,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-cancel-async-tasks-claude-code-k6/cancel-async-tasks__pdHm6Ub/result.json,273.058,0.87,1.781,108.755,150.647,39376,39360,9820,True,harbor_agent_result,49196,16,9836,,,,,,,,,,,,,,,,,,,,29393,5
